1,Artichoke  ,vegetable,1.5,10,6,9,5,moist,0.9,full sun,Strong winds
2,Arugula  ,"herb, vegetable",0.5,8,6,10,5,"dry, moist",0.45,"tolerates partial shade, tolerates partial sun",
3,Asparagus  ,vegetable,1.5,10,8,9,2,moist,0.1,full sun,maritime
4,Basil  ,herb,0.7,,6,11,9,moist,0.4,full sun ,
5,Beetroot  ,vegetable,0.6,8,6,8,4,moist,0.4,"tolerates partial shade, tolerates partial sun",
6,Begonias  ,flower,0.6,3,,9,6,moist,0.4,full shade ,
7,Bell pepper  ,"fruit, vegetable",1,10,8,11,10,moist,1,full sun,
8,Black-eyed pea  ,vegetable,1.8,10,8,12,10,"dry, moist",0.6,full sun,
9,Bleeding hearts  ,flower,0.7,3,,9,3,moist,1,full shade ,
10,Bok choy  ,vegetable,0.6,8,6,9,6,moist,0.45,"tolerates partial shade, tolerates partial sun",
11,Broccoli  ,vegetable,0.9,10,8,11,2,moist,0.7,full sun,maritime
12,Brussels sprout  ,vegetable,1,10,8,9,6,moist,0.4,full sun,maritime
13,Bush bean  ,vegetable,0.6,10,8,11,2,moist,0.6,full sun ,
14,Cantaloupe  ,fruit,1.5,10,8,11,9,moist,2.5,full sun,
15,Carrot  ,vegetable,0.6,10,8,8,4,moist,0.2,full sun,maritime
16,Cauliflower  ,vegetable,0.8,10,8,10,3,moist,0.7,full sun,maritime
17,Cayenne pepper  ,"fruit, vegetable",1,10,6,11,8,moist,0.6,full sun,
18,Celeriac  ,vegetable,0.6,10,8,9,5,moist,,full sun,
19,Celery  ,vegetable,0.6,10,8,9,5,moist,0.3,full sun,
20,Cherry tomato  ,"vegetable, fruit",2,10,8,11,8,"moist, dry",0.4,full sun,
21,Chickpea  ,vegetable,0.6,10,8,11,8,"dry, moist",0.6,full sun,
22,Chinese cabbage  ,vegetable,0.5,10,8,9,6,moist,0.3,full sun,
23,Chive  ,herb,0.3,8,6,11,5,moist,0.3,"tolerates partial shade, tolerates partial sun",
24,Coleus  ,,0.5,3,,11,10,moist,0.9,full shade ,
25,Collards  ,vegetable,0.9,8,6,10,5,moist,1,"tolerates partial shade, tolerates partial sun",maritime
26,Corn salad  ,vegetable,0.3,10,8,8,4,"dry, moist",0.15,full sun,
27,Cornflower  ,flower,1,10,8,10,3,"moist, dry",0.3,full shade,
28,Cosmos  ,flower,1,,6,11,8,"moist, dry",0.5,full sun,
29,Cress  ,herb,0.5,10,8,9,6,moist,0.1,full sun,
30,Cucumber  ,"fruit, vegetable",2,10,8,11,9,moist,0.9,full sun,
31,Edamame  ,vegetable,0.6,10,8,10,7,moist,0.9,full sun,
32,Eggplant  ,"vegetable, fruit",1,10,8,11,8,moist,1,full sun,
33,Endive chicory  ,vegetable,1,8,6,8,4,moist,0.3,"tolerates partial shade, tolerates partial sun",
34,Fennel  ,vegetable,1.5,10,8,10,3,"dry, moist",1,full sun,Strong winds
35,Garlic  ,vegetable,0.6,10,8,10,7,"moist, dry",0.2,full sun,
36,Horseradish  ,vegetable,0.7,10,8,9,4,moist,0.8,full sun,
37,Hydrangeas  ,flower,3,4,3,9,5,"moist, dry",3,"tolerates partial shade, tolerates partial sun",maritime
38,Impatiens (touch-me-not)  ,flower,1,3,,9,5,moist,0.6,full shade ,
39,Italian dandelion  ,vegetable,1.5,8,6,7,3,moist,0.5,"tolerates partial shade, tolerates partial sun",
40,Jalapeno pepper  ,"fruit, vegetable",1,10,8,11,10,moist,1,full sun,
41,Kale  ,vegetable,0.9,8,6,9,2,moist,0.6,"tolerates partial shade, tolerates partial sun",maritime
42,Kohlrabi  ,vegetable,1.2,10,8,9,6,moist,0.5,full sun,maritime
43,Lavender  ,"herb, flower",1.2,,6,8,5,"moist, dry",1,full sun,maritime
44,Leek  ,vegetable,0.9,10,8,9,5,moist,0.1,full sun,
45,Lemon balm  ,herb,0.7,10,6,8,4,"moist, dry",0.4,"full sun, tolerates partial sun",
46,Lettuce head,vegetable,0.9,8,6,9,5,moist,0.3,"tolerates partial shade, tolerates full sun in spring and fall",
47,Lily of the valley  ,flower,0.2,3,,7,2,"dry, moist, wet",0.3,full shade ,
48,Lima bush bean  ,vegetable,1,10,8,12,10,moist,0.3,full sun ,
49,Marigolds  ,flower,0.5,,6,11,2,"dry, moist",0.3,full sun,
50,Mint  ,herb,0.5,10,6,7,3,moist,1,"full sun, partial shade",
51,Mustard greens  ,vegetable,0.3,8,6,10,6,moist,0.3,"tolerates partial shade, tolerates partial sun",
52,Onion  ,vegetable,0.6,10,8,10,4,moist,0.3,full sun,
53,Parsley  ,herb,0.6,8,6,9,4,moist,0.3,"tolerates partial shade, tolerates partial sun",
54,Parsnip  ,vegetable,1,10,8,8,4,moist,0.3,full sun,
55,Pea  ,"vegetable, fruit",2,10,8,9,2,moist,0.6,full sun,
56,Petunias  ,flower,,,6,11,9,,1.2,full sun,
57,Potato  ,vegetable,1,10,8,10,7,moist,1,full sun,
58,Pumpkin  ,"vegetable, fruit",0.5,10,8,11,2,moist,5,full sun,
59,Radicchio  ,vegetable,1.5,10,8,7,3,moist,0.5,full sun,
60,Radish  ,vegetable,0.5,10,8,11,2,moist,0.2,full sun,
