Artichoke  ;Strong winds;moist;5;9;1.5;0.9;full sun;6;10;vegetable
Arugula  ;;dry, moist;5;10;0.5;0.45;tolerates partial shade, tolerates partial sun;6;8;herb, vegetable
Asparagus  ;maritime;moist;2;9;1.5;0.1;full sun;8;10;vegetable
Basil  ;;moist;9;11;0.7;0.4;full sun ;6;;herb
Beetroot  ;;moist;4;8;0.6;0.4;tolerates partial shade, tolerates partial sun;6;8;vegetable
Begonias  ;;moist;6;9;0.6;0.4;full shade ;;3;flower
Bell pepper  ;;moist;10;11;1;1;full sun;8;10;fruit, vegetable
Black-eyed pea  ;;dry, moist;10;12;1.8;0.6;full sun;8;10;vegetable
Bleeding hearts  ;;moist;3;9;0.7;1;full shade ;;3;flower
Bok choy  ;;moist;6;9;0.6;0.45;tolerates partial shade, tolerates partial sun;6;8;vegetable
Broccoli  ;maritime;moist;2;11;0.9;0.7;full sun;8;10;vegetable
Brussels sprout  ;maritime;moist;6;9;1;0.4;full sun;8;10;vegetable
Bush bean  ;;moist;2;11;0.6;0.6;full sun ;8;10;vegetable
Cantaloupe  ;;moist;9;11;1.5;2.5;full sun;8;10;fruit
Carrot  ;maritime;moist;4;8;0.6;0.2;full sun;8;10;vegetable
Cauliflower  ;maritime;moist;3;10;0.8;0.7;full sun;8;10;vegetable
Cayenne pepper  ;;moist;8;11;1;0.6;full sun;6;10;fruit, vegetable
Celeriac  ;;moist;5;9;0.6;;full sun;8;10;vegetable
Celery  ;;moist;5;9;0.6;0.3;full sun;8;10;vegetable
Cherry tomato  ;;moist, dry;8;11;2;0.4;full sun;8;10;vegetable, fruit
Chickpea  ;;dry, moist;8;11;0.6;0.6;full sun;8;10;vegetable
Chinese cabbage  ;;moist;6;9;0.5;0.3;full sun;8;10;vegetable
Chive  ;;moist;5;11;0.3;0.3;tolerates partial shade, tolerates partial sun;6;8;herb
Coleus  ;;moist;10;11;0.5;0.9;full shade ;;3;
Collards  ;maritime;moist;5;10;0.9;1;tolerates partial shade, tolerates partial sun;6;8;vegetable
Corn salad  ;;dry, moist;4;8;0.3;0.15;full sun;8;10;vegetable
Cornflower  ;;moist, dry;3;10;1;0.3;full shade;8;10;flower
Cosmos  ;;moist, dry;8;11;1;0.5;full sun;6;;flower
Cress  ;;moist;6;9;0.5;0.1;full sun;8;10;herb
Cucumber  ;;moist;9;11;2;0.9;full sun;8;10;fruit, vegetable
Edamame  ;;moist;7;10;0.6;0.9;full sun;8;10;vegetable
Eggplant  ;;moist;8;11;1;1;full sun;8;10;vegetable, fruit
Endive chicory  ;;moist;4;8;1;0.3;tolerates partial shade, tolerates partial sun;6;8;vegetable
Fennel  ;Strong winds;dry, moist;3;10;1.5;1;full sun;8;10;vegetable
